CUSTOMER_VERBATIM,CUSTOMER_TAGS,CORRECTION_VERBATIM,CORRECTION_TAGS
steering wheel coming apart,"['wheel', 'steering']",replaced steering wheel now okay,"['wheel', 'steering']"
customer states heated steering wheel inop,"['wheel', 'inop', 'steering']","checked - found dtc's u0229 - u1530 set in bcm. found pip5883j, verifi ed rpo options. tested per si - was inconclusive.testedperwiring sc hematic - all circuits tested ok. looks like faulty heated s-w module. ordered new module 9-26-23.1-2, replacedheated s-w module.",['module']
customer states the lettering and finish on the steering wheel is coming off. plant: sil,"['wheel', 'steering']",steering wheel replacement,"['wheel', 'steering']"
c/s: customer states the service driver assist system message is on. a dvise,"['system', 'message']",replaced steering message no longer displayed,"['steering', 'message']"
horn and steering wheel switches are inoperable,"['wheel', 'steering']",remove and replace steering wheel wire harness,"['wheel', 'steering', 'replace']"
cust. states drivers assist light comes on dash -super cruise/lane departure works intermittently-was diag. forasteeringwheelmodule.,['light'],"accessed, removed and replaced the drivers assistance systems module. accessed the diagnosticportandreprogrammedthesystemcalibration using the mdi-2 with a warranty claim programming code of fdyz197418154. road testedthevehicletoverifyrepairs. thesystem is now operating as designed.",['module']
special order part [ steering wheel heated steering wheel not working ],"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
customer states steering wheel is making a rubbing noise when turing the wheel left and right,"['wheel', 'steering', 'noise']",technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,['steering']
customer states that they are getting a message on the dash saying driver assist message. check and advise,"['check', 'message']",steering wheel replacement,"['wheel', 'steering']"
c/s: removed steering wheel to gain access to back side of steering wheel where trim is that is protruding and replaced trim andstill is pretruding. issue is in steering wheel assembly reference ro# 82289 -- gm authorization# 490759800000,"['wheel', 'steering', 'issue']","gained access and removed old steering wheel after disconnecting battery negative. installed new steering wheel, applied loctite tobolt that retains steering wheel. tighted bolt. re installed air bag, re installed trim. re connected battery, checked for anyprotruding from steering wheel molding, all ok now gm authorization# 490759800000","['wheel', 'steering']"
(install special order part) customer states the right side steering wheel super cruise plastic cover is lifting up and not secure.pra 491752600000,"['wheel', 'steering']",replaced steering wheel asmy,"['wheel', 'steering']"
customer states heated steering wheel isnt working,"['wheel', 'steering']",replaced heated steering wheel,"['wheel', 'steering']"
customer states steering wheel conrol passenger side rear on the steer ing wheel is loose sop part,"['wheel', 'steering']",checked and verified customer concern and found trim piece loose remov ed replaced trim piece on the back of the passenger side ofsteering w heel complete,[]
customer states ck horn on the steering wheel only works in the middle on the side it does no work,"['wheel', 'steering']","verified customer concern about a horn inop. i followed document 4374183 to diagnose this concern. i monitored scan tool data forthe horn activation while pressing the horn and it was changing intermittently. i then tested circuits 3287 at the steering wheelfor a short and all was ok, i then tested circuit 6051 and ground circuit had no high resistance. i then tested terminal tension onthe steering wheel harness and found loose tension on the horn connection and required a harness replacement i then replaced thesteering wheel harness. after repairs, the vehicle is now honking as designed","['wheel', 'inop', 'steering']"
�������� ������ ����������,[],steering wheel replacement,"['wheel', 'steering']"
"heated steering wheel inop. when you hit the button on it turns off immediately. when remote starting it, it will turn light on butnever heat up. - ro 6124563 - ro 6126117 - dave - pra #495554400000","['wheel', 'inop', 'steering', 'light']","replace steering wheel check ok 1699-,0130","['wheel', 'check', 'steering', 'replace']"
steering wheel fraying parts are in,"['wheel', 'steering']",installed special ordered steering wheel due to threads fraying on whe el 0130 .4 629,"['wheel', 'steering']"
added operation horn doesnt work hasnt worked since brand new tech cause horn connector not fully seated on harn assembly anddisconnected tech comments reconnected horn checked operation ok,[],"reconnected horn checked operation, ok.",[]
customer states stitching on steering wheel is coming undone on the ri ght side,"['wheel', 'steering']","pra approved, pra #495794600000 found the steering wheel to be coming apart. replaced the steering wheel. verified repair.","['wheel', 'repair', 'steering']"
customer states chrome trim on steering wheel is cracked,"['wheel', 'steering']",replaced steering wheel trim ring,"['wheel', 'steering']"
customer states the leather on steering wheel is coming apart - sophere,"['wheel', 'steering']",leather pulling away from wheel 0130 0.40 replacedsteering wheel pre auth 488737400000,['wheel']
customer states the steering wheel bezel is peeling.,"['wheel', 'steering']","steering wheel spoke cover, per goodwill assistance, customer has a deductible of $86.45","['wheel', 'steering']"
customer states steering wheels stiching coming apart,['steering'],replaced steering wheel no further action required.,"['wheel', 'steering']"
wrap on the steeering wheel is peeling ***need pra done by management****,['wheel'],replaced steering wheel,"['wheel', 'steering']"
cust sts the heated steering wheel will turn on at times and the turn off on its own and not work. most of the timethewheelwillnotturn on and work,"['wheel', 'steering']","tech was able to verify customers concern of heated steering wheel inop. tech checked connection to thesteeringwheelandfoundheating steering wheel has internal malfunction at harness(broken), ordered/installed new sterring wheel, oad","['wheel', 'inop', 'steering']"
trim or moulding diagnosis trim or moulding diagnosis - c/s: customer request ed to install correct steering wheel per sop - prevro 6012971,"['wheel', 'steering']",0130 labor 0.4 -removed and replaced steering wheel with correct unit. verified operation.,"['wheel', 'steering']"
install sop. customer states stitching on steering wheel is coming apart,"['wheel', 'steering']","per last repair order, replaced steering wheel. pra#493156300000","['wheel', 'repair', 'steering']"
-c/c back of the steering wheel has a bump that catches the hand whene ver you steer the wheel - parts in sor m19630,"['wheel', 'steering']",tech duplicated c-c. found there to be a defect in the leather wrap on the top of the steering wheel. recommend replacing steeringwheel to fix concern. tech replaced steering wheel.,"['wheel', 'steering']"
cust states steering wheel materuial delamination at bottom,"['wheel', 'steering']","inspected steering wheel, found leather peeling at bottom ofsteering wheel due to failed adhesive, replaced steering wheel","['wheel', 'steering']"
"customer states steering wheel does not heat, button pushed and turns off immediately, parts ordered.","['wheel', 'steering']",replace steering wheel assembly check operation ok pra # 496439500000,"['wheel', 'check', 'steering', 'replace']"
steering wheel strings loose .,"['wheel', 'steering']",replaced steering wheel.,"['wheel', 'steering']"
customer states the steering wheel is bubbling on inside lef t side,"['wheel', 'steering']",removed and replaced steering wheel,"['wheel', 'steering']"
c/s: cust states leater at the bottom of the steering wheele is coming apart please see history for approved pra onpreviousropra#495602900000,['steering'],inspected and confirmed steering wheel leather coming apart. submitted pra and was approved. necessary to remove andreplacesteeringwheel pra# 495602900000,"['wheel', 'steering']"
customer states steering heating button turns off after 1 minute and cannot be turn back on - check and advise,"['check', 'steering']",removed and replaced heated steering wheel module. clear codes recheck ok. heated steering wheel now operating as designed.2400---------.6 diag------------1.0,"['wheel', 'steering', 'module']"
customer states heated steering wheel inop sop here,"['wheel', 'inop', 'steering']",replaced heated steering wheel module. verified proper operation,"['wheel', 'steering', 'module']"
customer states that the steering wheel cover is coming apart.,"['wheel', 'steering']",wheel coming apart at stitching. replace steering wheel 0130 0.4 pr a attach #483410100000,"['wheel', 'steering', 'replace']"
steering wheel damaged in transit - tear/rip on right hand side above hand controls for dic - reference pdi ro where damage wascaught ro is 567382,"['wheel', 'steering']","accessed, removed and replaced the steering wheel with all other related new seals gaskets and/or non-reusable hardware andreinstalled all components removed for repairs in the reverse order of removal. the system is now operating as designed.,0130","['wheel', 'system', 'steering']"
heated steering wheel inop,"['wheel', 'inop', 'steering']",tech 573 replaced heated steering wheel module,"['wheel', 'steering', 'module']"
inspect and advise........heated steering wheel is non-opp.,"['wheel', 'steering']",tested and verified heated steering wheel inop. light turns on but whe el will not get warm. checked for codes- no codes. checkedfor bulleti ns - none related. tested as per si diagnosis - internal heating eleme nt has failed. will need to replace steeringwheel. submitted pra and got approval for wheel replacement. replaced steering wheel and tested - all ok. pra auth code-496425100000 loc 0130 (base+diag),"['wheel', 'light', 'steering', 'inop', 'replace']"
steering wheel trim as per last repair order,"['wheel', 'repair', 'steering']",necessary to replace steering wheel spoke cover and retest. ok,"['wheel', 'steering', 'replace']"
"check and report steering wheel only stays luke warm, and doesnt work after 5 min or so-it won't turn on","['wheel', 'check', 'steering']","diagnosis of open circuit inside wheel. replace steering wheel ( 0130 .3+ .4= .7 hrs ),steering wheel replacement gm preauth# 498654000000","['wheel', 'steering', 'replace']"
c/s: client states steering wheel pulling apart install sopsteering wheel pre auth in history,"['wheel', 'steering']",removed and replaced steering wheel assembly.,"['wheel', 'steering']"
"customer reports after heated steering wheel retrofit, steering wheel is off centre now. check and advise / /","['wheel', 'check', 'steering']",test drove and confirmed customer complaint brought in scanned and che cked bulletins require more time to remove air bag andlookat steerin g wheel auth c. j. 1327 jan 23 2023 st approx 1.0 disabled srs system removed air bag and steering wheel foundsteeringwheel is off center repaired splines in order to get steering wheel lined up lined steerin g wheel up with where steeringwheel iskeyed put back on torqued to s pecification put air bag back test drove and confirmed steering wheel is now strait not asstraiton some roads depending on road crown,"['wheel', 'system', 'steering']"
c.s steering wheel stitching seems to be coming apart on top right han d corner,"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
cs the steering wheel is pealing and separating-install sop refer to ro 412613,"['wheel', 'steering']",replace steering wheel sop ordered on ro 412613,"['wheel', 'steering', 'replace']"
steering wheel molding came off,"['wheel', 'steering']","steering wheel cover replacement part in backorder, order control 36683082","['wheel', 'steering']"
"c/s the steering wheel is peeling in some areas. customer request assi stance to replace steering wheel. approved, sop here","['wheel', 'steering', 'replace']",replaced steering wheel assembly. customer to pay warranty deductible,"['wheel', 'steering']"
"cust states the stitching on steering wheel is loose, please check and advise.","['wheel', 'check', 'steering']",replaced steering wheel,"['wheel', 'steering']"
customer state bezel on steering wheel is coming apart. part ordered a nd in stock for install,"['wheel', 'steering']",replaced cover,[]
"customer states that the cruise control is not working, customer states that they will enable the cruise control using the buttonbut the vehicle will not hold the speed. please advise ok part warranty refer to previous repair order 27724 1.16.24 @ 19373 miles.ok replacement of complete steering wheel vs. switch only replacement to ensure integrity of repair mike a. 1.26.24 @ 11:04 am prasubmitted and apporved for replacement of steering wheel pra # 496887800000 mike a. 1.26.24 @ 11:48 am ok r authorization forrepeat repair, part concern no tech error mike a.","['wheel', 'repair', 'steering']","replaced steering wheel and retested operation, verified all steering wheel switches operating as intended. 19547-19550 mt","['wheel', 'steering']"
heated volan devarque by itself intermittent customer must return them,[],replace heated steering module,"['steering', 'module', 'replace']"
#update#customer states vehicle's steering wheel was smoking out of theright side of wheel and after steering wheel heater was shutoff smoking stopped. please check and advise.c/s: sop install parts here per drew h. - history ro 431014 - steering wheel -customerto see rob c.,"['wheel', 'check', 'steering']","installed steering wheel from last visit, tested all functions, everything is fine now","['wheel', 'steering']"
customer states heated steering wheel is not working,"['wheel', 'steering']",diagnose heated steering wheel does not get warm with no codes setting . test and found button lights when depressed and goes offright away. verify fuse f26da is getting power. remove airbag assembly and verify power to heated steering module. dissasemlbeand test circuits for st eering wheel heater and found heater circuit open. reassemble and orde r new steering wheel assembly.install new steering wheel at 2nd visit and verify proper operation.,"['wheel', 'steering', 'module']"
ck heated steering wheel inop,"['wheel', 'inop', 'steering']",0130/0.4/0.3 total/0.7 replace steering.wontheat up,['replace']
customer complaint steering wheel has buble under leather,"['wheel', 'steering']","1replaced steering wheel, all ok","['wheel', 'steering']"
c/s steering wheel cover loose and moving.,"['wheel', 'steering']",replaced steering wheel for cover being loose inside.,"['wheel', 'steering']"
rear wiper not working cust thawed out veh and jiggled the control arm a couple times then it worked after trying several timescustthinks signal is not getting fromn front to back wiring cust has a video of the process he performed diagnose report,[],diagnose and report rear wipers inop test and found dtcs u1134u0131u1615b19f2 u1103 u1132 check lin bus value fixed at 6 voltsnottoggling --remove rear panels and disconnect rear 3 row seat not working and rear wiper still has lin bus issue ---recheckvoltagestill stuck at 6 volts ---called tac opened case 9-11734286785 spoke with josh ---after following diagnostics for b19f2 sym00 itsaid follow other dtcs first ----he corrected issue by saying to diagnose b19f2 first ---diagnosis lead to replacement ofheatedsteering wheel ---order part ---re assemble all loose panels ----install steering wheel and clear dtcs test all acc all ok,"['check', 'wheel', 'issue', 'steering', 'inop']"
"cust states the steering wheel stitching is coming apart, please check and advise.","['wheel', 'check', 'steering']",replaced steering wheel assembly under warranty due to manfacturer defect. complete.,"['wheel', 'steering']"
guest states steering wheel inserts right and left are peeling (sop he re),"['wheel', 'steering']",verified concern replaced steering wheel spoke cover,"['wheel', 'steering']"
8 info: information customer states vehicle steering wheel is making a clicking noise and rattling while driving.,"['wheel', 'steering', 'noise']",replaced loose applique,[]
customer states heated steering wheel only gets lukewarm not hot.,"['wheel', 'steering']",removed old steering wheel and installed new one. tried new steering wheel and new one heats properly. all okay now...,"['wheel', 'steering']"
customer states steering wheel cover coming off on bottom side of steering wheel,"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
customer states that the heated steering wheel intermittently does not work / states that the light does not illuminate at all andthe steer ing wheel does not heat---please advise (customer showed advisor a vid eo of it happening),"['wheel', 'light', 'steering']",checked and found code -b1a4c-92-heated steering wheel - performance. checked and found power ground and signal going to heatedsteering whe el. removed and replaced steering wheel cleared codes and rechecked.,"['wheel', 'steering']"
cust states steering wheel does not heat up completely only one small spot sop in,"['wheel', 'steering']",replaced steering wheel and retest system operating as designed at this time preauth 494643400000,"['wheel', 'system', 'steering']"
leather on steering wheel coming loose on bottom.,"['wheel', 'steering']",方向盘底部的皮革脱落了。拆下方向盘并更换新的。cc：0890 fc：2039pra#490428700000 人工 op：0130 0.50 人工,[]
customer states the heated steering wheel does not work,"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
"customer states heated steering wheel wont heat up, light wont turn on","['wheel', 'light', 'steering']","performed circuit/ system verification and testing per doc id-5316968. lead to replace steering wheel heater, service assteeringwheel assembly. remove and replace steering wheel assembly, cleared dtcs and verified operation of the steering wheelheater.0130 .5","['wheel', 'system', 'steering', 'replace']"
"customer states right side of steering is peeling, auth # 494344600000",['steering'],"accessed, removed and replaced the steering wheel. the system is now operating as designed. labor op0130 time units (tu) .7.","['wheel', 'system', 'steering']"
customer states steering wheel bottom is loose,"['wheel', 'steering']",replaced steering wheel.,"['wheel', 'steering']"
customer states steering wheel de-laminating,"['wheel', 'steering']",remove and replace steering wheel,"['wheel', 'steering', 'replace']"
"customer states heated steering wheel is not working, inspect and advise.","['wheel', 'steering']",replaced steering wheel and torqued all bolts to spec. checked opeation and heated wheel now is operation.,"['wheel', 'steering']"
install sop. customer states the stitching on the steering wheel is coming loose. pra accepted pre-authorization number 493070000000,"['wheel', 'steering']",r&r steering wheel.,"['wheel', 'steering']"
customer states super cruise inoperative.,[],test drove and duplicated customers concern. found super cruise inop. found dtc b19f2 00 heated steering wheel module code in imageprocessing module. found doc id 6270800 found code was current and would not clear. found new wheel will be needed. reached out totac and found issue to be steering wheel/module. part on order. pra 495999100000 2/2/2024 replaced steering wheel/module andcleared codes. performed test drive on i-95 and found super cruise to be fully functional after repairs.,"['wheel', 'issue', 'steering', 'module', 'inop']"
"customer statesburr on right side of steering wheel, stich coming off.","['wheel', 'steering']",replace steering wheel claim type b 0130 0.5 pre-repair authorizati on id-497269600000,"['wheel', 'steering', 'replace']"
"steering wheel is not heating anymore. light comes on but no heat. if turned off, and try to put it back on, the light wo ntcomeon,please check faut faire une preauthorisation avant de changer piece faut faire une preauthorisation avant de changer piece","['wheel', 'light', 'steering', 'check']","scanner test, no trouble code. check bulletin, none. disassemble air bag module. disconnect steering module. checkcurrentandground,ok.continue diag.files at the base of the heater at the steering are user,open circuit. order steering, part 10 days. filled steering wheel","['wheel', 'check', 'steering', 'module']"
cs blemish on steering wheel sop in,"['wheel', 'steering']",0130.5 replace steering wheel,"['wheel', 'steering', 'replace']"
customer states steering wheel leather trim is coming un-stitched at the 6 o'clock position. . .claim approved by gm(487258100000),"['wheel', 'steering']",remove and replace steering wheel,"['wheel', 'steering', 'replace']"
customers states the stitching is coming undo ne on the steering,['steering'],steering wheel replacement,"['wheel', 'steering']"
cs steering wheel leather is coming undone at lower section,"['wheel', 'steering']","autorización aceptada, volante reemplazado para corregir la preocupación",[]
general concern [[covered by w] service safety restraints light],['light'],replaced steering column harness with additional air bag,['steering']
steering wheel bezel bubbling sop in,"['wheel', 'steering']",replaced steering wheel,"['wheel', 'steering']"
heated steering wheel when engaged will turn on and go back off,"['wheel', 'steering']",inspect and found code b1a4c- following service procedures-found steering wheel heater shorted-replace steering wheel assembly,"['wheel', 'steering']"
customer states new heated steering wheel installed as retrofit on r.o. 22330 in coming apart towards bottom of steering wheel,"['wheel', 'steering']",removed and replaced steering wheel,"['wheel', 'steering']"
re&re steering wheel. part is here,"['wheel', 'steering']","inspected steering wheel and found leather under stitching at left han d thumb grip to have started to lift. pictures ofwheeltaken, replace ordered steering wheel pra 496611700000","['wheel', 'steering', 'replace']"
customer states the finish on the steering wheel is coming off and it gets really sticky when it gets hot out,"['wheel', 'steering']",replaced applique,[]
customer states that the steering is very tight and you can hear it rubbing in the steering column when you turn pra 497110800000,['steering'],replaced steering wheel completedlop 0130 time .4,"['wheel', 'steering']"
cs driver assistance warning light is coming on while driving,['light'],replace steering wheel,"['wheel', 'steering', 'replace']"
customer statescustomer states vehicle steering wheel coming apart in op check and advise sop steering wheel in check and advise,"['wheel', 'check', 'steering']",replace steering wheel pra 496735300000,"['wheel', 'steering', 'replace']"
customer states there is clicking type noise coming from steering wheel when turning.e,"['wheel', 'steering', 'noise']",removed steering wheel and disassembled and found screw floating around behind cover removed and reassembled and noise is no longerpresent,"['wheel', 'steering', 'noise']"
11buz minor electrical cust states stitching coming apart from steering wheel replace steering wheel (sop here) 7440130 .4 pre auth# 493358100000,"['wheel', 'steering', 'replace']",r&r steering wheel for bad stitching. -returned old wheel to parts department for warranty.,"['wheel', 'steering']"
